item;condition;itemName;information status;contextType;NAI_type;participantQuestion;contextSentence;polarQuestion;indirectAnswer
1;1;the beach;at-issue-explicit;positive;NA;“What do you like to do at the beach?”;“I’m a surfer.”;“Will you be at the beach tomorrow?”;“It’s going to be windy.”
1;2;the beach;at-issue-explicit;negative;NA;“What do you like to do at the beach?”;“I’m a sunbather.”;“Will you be at the beach tomorrow?”;“It’s going to be windy.”
1;3;the beach;at-issue-implicit;positive;NA;“What do you like to do at the beach?”;"""I just bought a new surfboard.”";“Will you be at the beach tomorrow?”;“It’s going to be windy.”
1;4;the beach;at-issue-implicit ;negative;NA;“What do you like to do at the beach?”;“I just bought a new beach read.”;“Will you be at the beach tomorrow?”;“It’s going to be windy.”
1;5;the beach;no-longer-at-issue;positive;NA;“What do you like to do at the beach?”;“As a surfer, I spend a lot of time there.”;“Will you be at the beach tomorrow?”;“It’s going to be windy.”
1;6;the beach;no-longer-at-issue;negative;NA;“What do you like to do at the beach?”;“As a sunbather, I spend a lot of time there.”;“Will you be at the beach tomorrow?”;“It’s going to be windy.”
1;7;the beach;never-at-issue;positive;like me;“What do you like to do at the beach?”;“Surfers like me are always at the beach.” ;“Will you be at the beach tomorrow?”;“It’s going to be windy.”
1;8;the beach;never-at-issue;negative ;like me;“What do you like to do at the beach?”;“Sunbathers like me are always at the beach.”;“Will you be at the beach tomorrow?”;“It’s going to be windy.”
2;1;the mountains;at-issue-explicit;positive;NA;“What do you love about the mountains?”;“I'm a skier.”;“Are you going to the mountains this week?”;“There’s lots of fresh snow.”
2;2;the mountains;at-issue-explicit;negative;NA;“What do you love about the mountains?”;“I’m a rock climber.”;“Are you going to the mountains this week?”;“There’s lots of fresh snow.”
2;3;the mountains;at-issue-implicit;positive;NA;“What do you love about the mountains?”;“I just bought new skiing equipment.”;“Are you going to the mountains this week?”;“There’s lots of fresh snow.”
2;4;the mountains;at-issue-implicit ;negative;NA;“What do you love about the mountains?”;“I just bought new climbing gear.” ;“Are you going to the mountains this week?”;“There’s lots of fresh snow.”
2;5;the mountains;no-longer-at-issue;positive;NA;“What do you love about the mountains?”;“As a skier, it’s my favourite place to be.”;“Are you going to the mountains this week?”;“There’s lots of fresh snow.”
2;6;the mountains;no-longer-at-issue;negative;NA;“What do you love about the mountains?”;“As a rock climber, it’s my favourite place to be.”;“Are you going to the mountains this week?”;“There’s lots of fresh snow.”
2;7;the mountains;never-at-issue;positive;like me;“What do you love about the mountains?”;“Skiers like me love spending entire days there!”;“Are you going to the mountains this week?”;“There’s lots of fresh snow.”
2;8;the mountains;never-at-issue;negative ;like me;“What do you love about the mountains?”;“Rock climbers like me love spending entire days there!”;“Are you going to the mountains this week?”;“There’s lots of fresh snow.”
3;1;running;at-issue-explicit;positive;NA;“What kind of running do you do?”;“I'm a long distance runner.”;“Will you participate in the city run this weekend?”;“It’s a marathon.”
3;2;running;at-issue-explicit;negative;NA;“What kind of running do you do?”;“I'm just a beginner.”;“Will you participate in the city run this weekend?”;“It’s a marathon.”
3;3;running;at-issue-implicit;positive;NA;“What kind of running do you do?”;“I love running for as many hours as I can.”;“Will you participate in the city run this weekend?”;“It’s a marathon.”
